Symbol,Symbol Name,Phonetic Description,IPA Number,UCS Code,AFII Code
ʼ,apostrophe,ejective,401,02BC,E249
̥,under-ring,voiceless,402,0325,E229
̊,over-ring,voiceless,402,030A,00CA
̬,subscript wedge,voiced,403,032C,E22A
ʰ,superscript H,aspirated,404,02B0,D565
̤,subscript umlaut,breathy voiced,405,0324,E22B
̰,subscript tilde,creaky voiced,406,0330,23D8
̼,subscript seagull,linguolabial,407,033C,22E8
̪,subscript bridge,dental,408,032A,E22C
̺,inverted subscript bridge,apical,409,033A,23FD
̻,subscript square,laminal,410,033B,23FE
̹,subscript right half-ring,more rounded,411,0339,E23C
̜,subscript left half-ring,less rounded,412,031C,E232
̟,subscript plus,advanced,413,031F,E233
̠,under-bar,retracted,414,0320,E234
̈,umlaut,centralized,415,0308,E221
̽,over-cross,mid-centralized,416,033D,2311
̘,advancing sign,advanced tongue root,417,0318,23F7
̙,retracting sign,retracted tongue root,418,0319,23F8
˞,right hook,rhoticity,419,02DE,E28A
ʷ,superscript W,labialized,420,02B7,D56E
ʲ,superscript J,palatalized,421,02B2,D567
ˠ,superscript gamma,velarized,422,02E0,E28B
ˤ,superscript reversed glottal stop,pharyngealized,423,02E4,E28C
̃,superscript tilde,nasalized,424,0303,E222
ⁿ,superscript N,nasal release,425,207F,FDA8
ˡ,superscript L,lateral release,426,02E1,FDA3
̚,corner,no audible release,427,031A,23F9
̴,superimposed tilde,velarized or pharyngealized,428,0334,E226
̝,raising sign,raised,429,031D;02D4,E22F
̞,lowering sign,lowered,430,031E;02D5,E231
̩,syllabicity mark,syllabic,431,0329,E22E
̯,subscript arch,non-syllabic,432,032F,23FA
͡,top tie bar,affricate or double,433,0361,E225
