IPA_Number,Symbol,Symbol_Name,Voicing,Place_of_Articulation,Manner_of_Articulation,Status,UCS_Code,AFII_Code
101,p,lower-case P,voiceless,bilabial,plosive,,0070,E2A2
102,b,lower-case B,voiced,bilabial,plosive,,0062,E2A3
103,t,lower-case T,voiceless,dental;alveolar,plosive,,0074,E2B0
104,d,lower-case D,voiced,dental;alveolar,plosive,,0064,E2B1
105,ʈ,right-tail T,voiceless,retroflex,plosive,,0288,E2C7
106,ɖ,right-tail D,voiced,retroflex,plosive,,0256,E2C8
107,c,lower-case C,voiceless,palatal,plosive,,0063,E2D8
108,ɟ,barred dotless J,voiced,palatal,plosive,,025F,E2D9
109,k,lower-case K,voiceless,velar,plosive,,006B,E2DE
110,ɡ,opentail G,voiced,velar,plosive,equivalent to 210,0261,E2DF
111,q,lower-case Q,voiceless,uvular,plosive,,0071,E2E6
112,ɢ,small capital G,voiced,uvular,plosive,,0262,E2E7
113,ʔ,glottal stop,,glottal,plosive,,0294,E2ED
114,m,lower-case M,voiced,bilabial,nasal,,006D,E2A1
115,ɱ,left-tail M (at right),voiced,labiodental,nasal,,0271,E2AB
116,n,lower-case N,voiced,dental;alveolar,nasal,,006E,E2AF
117,ɳ,right-tail N,voiced,retroflex,nasal,,0273,E2C6
118,ɲ,left-tail N (at left),voiced,palatal,nasal,,0272,E2D7
119,ŋ,eng,voiced,velar,nasal,,014B,E2DD
120,ɴ,small capital N,voiced,uvular,nasal,,0274,E2E4
121,ʙ,small capital B,voiced,bilabial,trill,,0299,E2F0
122,r,lower-case R,voiced,dental;alveolar,trill,,0072,E2C0
123,ʀ,small capital R,voiced,uvular,trill,,0280,E2EA
124,ɾ,fish-hook R,voiced,dental;alveolar,tap,,027E,E2C1
125,ɽ,right-tail R,voiced,retroflex,flap,,027D,E2CD
126,ɸ,phi,voiceless,bilabial,fricative,,0278,E2A4
127,β,beta,voiced,bilabial,fricative,,03B2,E2A5
128,f,lower-case F,voiceless,labiodental,fricative,,0066,E2AC
129,v,lower-case V,voiced,labiodental,fricative,,0076,E2AD
130,θ,theta,voiceless,dental,fricative,,03B8,E2B2
131,ð,eth,voiced,dental,fricative,,00F0,E2B3
132,s,lower-case S,voiceless,alveolar,fricative,,0073,E2B6
133,z,lower-case Z,voiced,alveolar,fricative,,007A,E2B7
134,ʃ,esh,voiceless,postalveolar,fricative,,0283,E2D0
135,ʒ,ezh;tailed Z,voiced,postalveolar,fricative,,0292,E2D1
136,ʂ,right-tail S (at left),voiceless,retroflex,fricative,,0282,E2C9
137,ʐ,right-tail Z,voiced,retroflex,fricative,,0290,E2CA
138,ç,C cedilla,voiceless,palatal,fricative,,00E7,E2DA
139,ʝ,curly-tail J,voiced,palatal,fricative,,029D,E2F3
140,x,lower-case X,voiceless,palatal,fricative,,0078,E2E0
141,ɣ,gamma,voiced,velar,fricative,,0263,E2E1
142,χ,chi,voiceless,uvular,fricative,,03C7,E2E8
143,ʁ,inverted small capital R,voiced,uvular,fricative,,0281,E2E9
144,ħ,barred H,voiceless,pharyngeal,fricative,,0127,E2EB
145,ʕ,reversed glottal stop,voiced,pharyngeal,fricative;approximant,,0295,E2EC
146,h,lower-case H,voiceless,glottal,fricative,,0068,E2EE
147,ɦ,hooktop G,voiced,glottal,fricative,,0266,E2EF
