header,predicate,type,value,attribute,subject_id
IPA_Number,dcterms:identifier,plain,,,$root
Symbol,rdfs:label,plain,,,$root
Symbol_Name,skos:prefLabel,language,,en,$root
Description,ipav:description,language,,en,$root
Voicing,ipav:voicing,language,,en,$root
Place_of_Articulation,ipav:placeOfArticulation,language,,en,$root
Manner_of_Articulation,ipav:mannerOfArticulation,language,,en,$root
Height,ipav:height,language,,en,$root
Backness,ipav:backness,language,,en,$root
Rounding,ipav:rounding,language,,en,$root
Status,skos:note,language,,en,$root
UCS_Code,ipav:uscCode,plain,,,$root
AFII_Code,ipav:afiiCode,plain,,,$root
$constant,skos:inScheme,iri,http://example.org/ipa/,,,$root
$constant,skos:inCollection,iri,http://example.org/ipa/diacritics,,,$root
