IPA_Number,Symbol,Symbol_Name,Phonetic_Description,Status,UCS_Code,AFII_Code
401,ʼ,apostrophe,ejective,,02BC,E249
402,̥;̊,under-ring;over-ring,voiceless,,0325;030A,E229;00CA
403,̬,subscript wedge,voiced,,032C,E22A
404,ʰ,superscript H,aspirated,,02B0,D565
405,̤,subscript umlaut,breathy voiced,,0324,E22B
406,̰,subscript tilde,creaky voiced,,0330,23D8
407,̼,subscript seagull,linguolabial,,033C,22E8
408,̪,subscript bridge,dental,,032A,E22C
409,̺,inverted subscript bridge,apical,,033A,23FD
410,̻,subscript square,laminal,,033B,23FE
411,̹,subscript right half-ring,more rounded,,0339,E23C
412,̜,subscript left half-ring,less rounded,,031C,E232
413,̟,subscript plus,advanced,,031F,E233
414,̠,under-bar,retracted,,0320,E234
415,̈,umlaut,centralized,,0308,E221
416,̽,over-cross,mid-centralized,,033D,2311
417,̘,advancing sign,advanced tongue root,,0318,23F7
418,̙,retracting sign,retracted tongue root,,0319,23F8
419,˞,right hook,rhoticity,,02DE,E28A
420,ʷ,superscript W,labialized,,02B7,D56E
421,ʲ,superscript J,palatalized,,02B2,D567
422,ˠ,superscript gamma,velarized,,02E0,E28B
423,ˤ,superscript reversed glottal stop,pharyngealized,,02E4,E28C
424,̃,superscript tilde,nasalized,,0303,E222
425,ⁿ,superscript N,nasal release,,207F,FDA8
426,ˡ,superscript L,lateral release,,02E1,FDA3
427,̚,corner,no audible release,,031A,23F9
428,̴,superimposed tilde,velarized;pharyngealized,,0334,E226
429,̝;˔,raising sign,raised,,031D;02D4,E22F
430,̞;˕,lowering sign,lowered,,031E;02D5,E231
431,̩,syllabicity mark,syllabic,,0329,E22E
432,̯,subscript arch,non-syllabic,,032F,23FA
433,͡,top tie bar,affricate;double,,0361,E225
489,̢,subscript right hook,rhoticity,superseded by 419 (1989),0322,E228
490,˹,open corner,release;burst,not IPA usage,02F9,E218
491,",",comma,pause (comma),not IPA usage,002C,002C
492,ʻ,reversed apostrophe,weak aspiration,withdrawn (1979),02BB,00A9
493,̇,over-dot,palatalization;centralization,withdrawn (1979),0307,E224
494,˗,minus sign,retracted variety (backed),use 414 or 418 (1989),02D7,E239
495,˖,plus sign,advanced variety (fronted),use 413 or 417 (1989),02D6,E238
496,ʸ,superscript Y,high-front rounding;palatalized,not IPA usage,02B8,D570
497,̣,under-dot,closer variety;fricative,use 429 (1989),0323,E230
498,̡,subscript left hook,palatalized,superseded by 421 (1989),0321,E227
499,̫,subscript W,labialized,superseded by 420 (1989),032B,E22D
