IPA Number,Symbol,Symbol Name,Phonetic Description,Status,UCS Code,AFII Code
501,ˈ,vertical stroke (superior),primary stress,,02C8,E23E
502,ˌ,vertical stroke (inferior),secondary stress,,02CC,E23F
503,ː,length mark,long,,02D0,E23A
504,ˑ,half-length mark,half-long,,02D1,E23B
505,̆,breve,extra-short,,0306,E223
506,.,period,syllable break,,002E,002E
507,|,vertical line (thick),minor (foot) group,,007C,007C
508,‖,double vertical line (thick),major (intonation) group,,2016,2142
509,‿,bottom tie bar,linking (absence of a break),,203F,230F
510,↗,upward diagonal arrow,global rise,,2197,EF3E
511,↘,downward diagonal arrow,global fall,,2198,EF3D
512,̋,double acute accent (over),extra high level,,030B,00CD
513,́,acute accent (over),high level,,0301,00C2
514,̄,macron,mid level,,0304,00C5
515,̀,grave accent (over),low level,,0300,00C1
516,̏,double grave accent (over),extra low level,,030F,23E2
517,↓,down arrow,downstep,,2193,EEAF
518,↑,up arrow,upstep,,2191,EEAD
519,˥,extra-high tone letter,extra high level,,02E5,E28D
520,˦,high tone letter,high level,,02E6,E28E
521,˧,mid tone letter,mid level,,02E7,E28F
522,˨,low tone letter,low level,,02E8,E29F
523,˩,extra-low tone letter,extra low level,,02E9,E29E
524,̌,wedge;háček,rising contour,,030C,00CF
525,̂,circumflex,falling contour,,0302,00C3
526,᷄,macron plus acute accent,high rising contour,,1DC4,E296
527,᷅,grave plus acute accent,low rising contour,,1DC5,E297
528,᷈,grave plus acute plus grave accent,rising-falling contour,,1DC8,E298
529,˩˥,rising tone letter,rising contour,,02E9+02E5,E299
530,˥˩,falling tone letter,falling contour,,02E5+02E9,E29A
531,˦˥,high-rising tone letter,high rising contour,,02E6+02E5,E29B
532,˩˨,low-rising tone letter,low rising contour,,02E9+02E8,E29C
533,˧˦˧,rising-falling tone letter,rising-falling contour,,02E7+02E6+02E7,E29D
595,̑,superscript arch,long falling tone;advanced;palatal,not IPA usage,0311,23F2
596,ˇ,wedge;háček,falling-rising tone,usage redefined (1989) see 524,02C7,E247
597,ˆ,circumflex,rising-falling tone,usage redefined (1989) see 525,02C6,E246
598,̖;ˎ,subscript grave accent,low falling tone,superseded (1989),0316;02CE,E245
599,̗;ˏ,subscript acute accent,low rising tone,superseded (1989),0317;02CF,E243
