header,predicate,type,value,attribute,subject_id
IPA_Number,dcterms:identifier,plain,,,$root
Symbol,rdfs:label,plain,,,$root
Symbol_Name,skos:prefLabel,language,,en,$root
Description,ipa:description,language,,en,$root
Voicing,ipa:voicing,language,,en,$root
Place_of_Articulation,ipa:placeOfArticulation,language,,en,$root
Manner_of_Articulation,ipa:mannerOfArticulation,language,,en,$root
Height,ipa:height,language,,en,$root
Backness,ipa:backness,language,,en,$root
Rounding,ipa:rounding,language,,en,$root
Status,skos:note,language,,en,$root
UCS_Code,ipa:uscCode,plain,,,$root
AFII_Code,ipa:afiiCode,plain,,,$root
$constant,skos:inScheme,iri,http://example.org/ipa/,,$root
